<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;20211101;000000;350.3000000;359.3000000;350.3000000;359.1000000;46460760
GAZP;D;20211102;000000;359.1600000;360.0000000;351.2400000;352.4800000;42925940
GAZP;D;20211103;000000;350.5500000;353.8600000;346.6200000;353.0200000;37782790
GAZP;D;20211105;000000;352.0000000;354.8000000;349.2300000;350.6000000;25553970
GAZP;D;20211108;000000;353.0000000;356.3400000;348.3400000;351.4700000;39731410
GAZP;D;20211109;000000;351.0600000;353.6100000;346.9900000;349.4600000;31015520
GAZP;D;20211110;000000;349.8700000;351.2500000;344.2000000;345.8000000;35456770
GAZP;D;20211111;000000;346.9400000;348.4300000;343.8000000;347.4400000;40212180
GAZP;D;20211112;000000;346.8400000;347.1500000;331.0000000;333.6000000;127163510
GAZP;D;20211115;000000;333.8100000;341.8100000;333.6700000;340.3000000;64140420
GAZP;D;20211116;000000;341.4800000;342.8500000;331.6100000;336.7900000;64616650
GAZP;D;20211117;000000;336.0000000;351.8200000;334.8300000;349.9800000;79007960
GAZP;D;20211118;000000;350.0500000;359.3200000;342.2800000;345.5600000;101979450
GAZP;D;20211119;000000;348.2700000;350.7300000;334.2000000;337.6200000;95994240
GAZP;D;20211122;000000;334.9900000;335.6800000;316.6600000;319.2000000;151300550
GAZP;D;20211123;000000;316.4500000;341.7700000;310.6200000;341.7700000;150432770
GAZP;D;20211124;000000;343.8700000;348.0000000;332.7500000;338.3000000;93592790
GAZP;D;20211125;000000;340.0000000;343.0000000;335.7000000;337.5500000;48702100
GAZP;D;20211126;000000;325.0000000;332.0000000;320.1000000;326.0000000;103502140
GAZP;D;20211129;000000;335.0000000;345.3300000;331.9600000;339.2000000;99152930
GAZP;D;20211130;000000;332.4800000;342.5500000;331.5000000;334.2400000;130276980
GAZP;D;20211201;000000;338.5700000;350.3700000;337.6100000;345.2100000;92906220
GAZP;D;20211202;000000;347.3000000;352.6700000;344.8000000;350.3000000;75360830
GAZP;D;20211203;000000;351.5000000;353.1300000;343.2100000;345.9900000;51627900
GAZP;D;20211206;000000;347.2700000;349.3600000;333.3500000;338.9400000;70924550
GAZP;D;20211207;000000;339.2500000;346.0000000;333.4300000;344.9600000;75507480
GAZP;D;20211208;000000;346.0000000;348.4700000;336.5300000;340.5000000;78321390
GAZP;D;20211209;000000;341.4500000;344.2000000;335.7200000;336.6000000;61406510
GAZP;D;20211210;000000;337.0200000;338.3100000;329.9800000;332.0000000;44642520
GAZP;D;20211213;000000;333.0900000;334.8800000;305.7600000;307.2600000;140577980
GAZP;D;20211214;000000;306.9900000;320.0000000;289.7800000;319.3500000;168672960
GAZP;D;20211215;000000;319.6500000;325.8300000;316.5000000;324.0900000;79742820
GAZP;D;20211216;000000;326.1800000;332.3000000;325.3800000;328.3900000;95469330
GAZP;D;20211217;000000;327.9800000;329.7000000;323.0300000;327.3000000;72099410
GAZP;D;20211220;000000;324.0000000;326.0000000;316.1100000;325.9000000;70795770
GAZP;D;20211221;000000;326.7500000;339.8800000;326.5000000;339.8800000;80061070
GAZP;D;20211222;000000;340.0100000;349.5900000;339.2900000;345.5500000;96809420
GAZP;D;20211223;000000;346.1000000;348.3200000;337.0000000;339.8100000;72129000
GAZP;D;20211224;000000;339.3000000;340.9800000;334.5500000;338.7900000;39005950
GAZP;D;20211227;000000;339.6800000;343.9700000;339.3300000;343.9700000;29925890
GAZP;D;20211228;000000;344.0400000;346.6000000;342.5500000;343.2300000;34848840
GAZP;D;20211229;000000;343.3000000;344.4800000;337.1300000;340.3300000;43005060
GAZP;D;20211230;000000;340.7500000;344.0000000;337.4000000;342.3900000;40853240
GAZP;D;20220103;000000;345.0100000;353.8800000;344.3000000;353.7300000;40057980
GAZP;D;20220104;000000;353.9900000;358.1000000;348.3500000;352.5500000;52693510
GAZP;D;20220105;000000;351.9000000;353.5000000;331.5500000;335.0000000;80969440
GAZP;D;20220106;000000;335.8000000;347.6700000;330.1100000;346.1300000;74572470
GAZP;D;20220110;000000;348.3300000;351.0000000;340.5100000;344.0000000;51047490
GAZP;D;20220111;000000;344.6800000;347.0000000;341.2700000;343.7400000;41961140
GAZP;D;20220112;000000;344.1100000;348.6400000;339.5700000;347.4300000;53443260
GAZP;D;20220113;000000;347.1100000;347.5000000;333.4900000;337.6000000;118257640
GAZP;D;20220114;000000;338.5900000;340.9600000;321.5100000;335.7600000;120546960
GAZP;D;20220117;000000;335.9100000;338.9500000;319.1700000;327.8100000;96925780
GAZP;D;20220118;000000;329.1500000;329.3000000;296.7000000;301.1100000;220096130
GAZP;D;20220119;000000;300.0000000;320.4200000;282.7200000;318.3600000;220036310
GAZP;D;20220120;000000;318.3600000;326.6900000;310.0700000;310.4200000;130261430
GAZP;D;20220121;000000;309.4900000;321.9900000;303.5000000;311.6000000;119002830
GAZP;D;20220124;000000;310.7800000;314.0000000;280.6000000;294.5900000;236346280
GAZP;D;20220125;000000;293.9000000;305.0000000;289.6200000;302.9600000;143155040
GAZP;D;20220126;000000;302.9000000;307.7000000;293.7000000;299.6000000;125060870
GAZP;D;20220127;000000;296.8500000;330.0000000;294.0000000;325.2500000;216008170
GAZP;D;20220128;000000;325.5100000;334.9000000;322.0500000;329.5800000;116166660
GAZP;D;20220131;000000;330.9200000;336.4100000;330.5200000;334.8000000;69903820
GAZP;D;20220201;000000;334.9400000;336.6300000;325.3000000;330.9500000;67998200
GAZP;D;20220202;000000;332.3900000;333.7000000;325.7000000;331.7000000;54751740
GAZP;D;20220203;000000;329.9900000;331.0000000;322.3000000;323.7500000;57592210
GAZP;D;20220204;000000;325.5000000;334.5000000;320.8800000;324.7500000;88599130
